Each record represents a work of art that was painted by one of the artists in this database and is displayed in one of the museums in this database.  ,https://docs.google.com/spreadsheets/d/e/2PACX-1vSOwzF6ydDZFQflMt7U6VdBjwbj08C02gyESoFjOJ_JW5UBA26gYV8eGwWk51y4h3lH52A35yov7qWN/pub?gid=250719604&single=true&output=csv,"{""top"":10,""left"":116}
",,,,
2888,The Collector of Prints,35,598,Impressionism,16,20
2892,The Dance Class,35,598,Impressionism,24,24
2896,The Dance Class,53,598,Impressionism,16,20
2900,The Dance Lesson,35,598,Impressionism,16,20
2902,The Dance Lesson,46,598,Impressionism,16,20
2904,The Dancers,35,598,Impressionism,16,20
2906,The Millinery Shop,56,598,Impressionism,20,20
2908,The Orchestra of the Opera,49,598,Impressionism,20,24
2910,The Pedicure,49,598,Impressionism,16,20
2912,"The Racecourse, Amateur Jockeys",49,598,Impressionism,20,16
2916,The Singer in Green,35,598,Impressionism,16,20
2920,The Star (L'etoile),49,598,Impressionism,16,24
2930,Three Dancers Preparing for Class,35,598,Impressionism,20,20
2932,Three Jockeys,35,598,Impressionism,20,16
2940,"Two Dancers, Half-length",35,598,Impressionism,20,16
2950,Waiting,55,598,Impressionism,20,16
2952,Woman Bathing in a Shallow Tub,35,598,Impressionism,16,24
2954,Woman Combing Her Hair,35,598,Impressionism,16,20
2956,Woman Drying Her Arm,35,598,Impressionism,24,16
2958,Woman Drying Her Foot,35,598,Impressionism,20,20
2960,Woman Having Her Hair Combed,35,598,Impressionism,16,20
2962,Woman Ironing,46,598,Impressionism,16,20
2964,Woman Ironing,46,598,Impressionism,16,20
2966,Woman with a Towel,35,598,Impressionism,16,20
2968,Women on a Café Terrace in the Evening,49,598,Impressionism,24,16
2970,Young Spartans Exercising,47,598,Impressionism,24,16
2976,Arch and Point,61,656,,30,30
2978,Around the Circle,61,656,,36,24
2980,Black Lines I,61,656,,30,30
2982,Black Spot I,34,656,,30,24
2984,Bright Picture,61,656,,30,24
2988,Composition II,61,656,,30,24
2998,Composition VI,34,656,,36,24
3002,Composition VIII (No. 8),61,656,,79,55
3004,Cossacks,62,656,,30,24
3008,Decisive Pink,61,656,,30,24
3026,Improvisation 11,34,656,,24,24
3040,Improvisation 30 (Cannons),68,656,,24,24
3050,Improvisation Gorge,36,656,,30,30
3066,Landscape with Rain,61,656,,24,24
3090,Picture with Archer,30,656,,24,30
3092,Picture with Three Spots,36,656,,24,24
3100,Red Oval,61,656,,24,24
3110,Small Pleasures,30,656,,24,24
3116,The Blue Mountain,61,656,,24,24
3126,Upward,61,656,,20,20
3128,View of Murnau,34,656,,24,16
3134,Winter Landscape,34,656,,24,16
3136,With a White Border,61,656,,36,24
3145,A Bearded Man in a Cap,47,920,Baroque,24,30
3147,A Franciscan Friar,47,920,Baroque,20,30
3151,A Man Seated Reading at a Table in a Lofty Room,47,920,Baroque,20,24
3153,A Polish Nobleman,46,920,Baroque,20,30
3159,A Seated Man with a Stick,47,920,Baroque,20,24
3161,A Study of an Elderly Man in a Cap,47,920,Baroque,24,30
3163,A Young Man and a Girl Playing Cards,47,920,Baroque,24,30
3165,A Young Scholar and His Tutor,55,920,Baroque,24,30
3167,An Elderly Man as Saint Paul,47,920,Baroque,20,24
3169,An Old Man in an Armchair,47,920,Baroque,24,30
3171,An Old Man in Military Costume,55,920,Baroque,16,20
3173,An Old Man in Red,34,920,Baroque,20,24
3175,Aristotle with a Bust of Homer,35,920,Baroque,30,30
3179,Bathsheba at Her Bath,40,920,Baroque,30,30
3181,Bellona,35,920,Baroque,20,24
3183,Belshazzar's Feast,47,920,Baroque,24,19
3185,Bust of a Man in a Gorget and a Feathered Beret,43,920,Baroque,20,24
3187,Christ and the Woman of Samaria,35,920,Baroque,24,30
3191,Christ with a Staff,35,920,Baroque,20,24
3193,Daniel and Cyrus Before the Idol Bel,55,920,Baroque,24,19
3195,David and Jonathan,34,920,Baroque,24,30
3197,Descent from the Cross,46,920,Baroque,19,24
3201,Flora,35,920,Baroque,24,24
3203,Flora,34,920,Baroque,20,24
3205,Head of Christ,35,920,Baroque,20,24
3207,Head of Christ,67,920,Baroque,24,30
3209,Hendrickje Bathing in a River,47,920,Baroque,19,24
3211,Hendrickje Stoffels,35,920,Baroque,20,24
3213,Herman Doomer,35,920,Baroque,20,24
3217,Jeremiah Lamenting the Destruction of Jerusalem,43,920,Baroque,19,24
3221,Lieven Willemsz Van Coppenol,35,920,Baroque,20,24
3225,Lucretia,46,920,Baroque,19,24
3227,Man in a Beret,35,920,Baroque,20,24
3231,Man in a Red Cloak,35,920,Baroque,20,24
3233,Man in Armor (Mars),35,920,Baroque,20,24
3235,Man in Oriental Costume,46,920,Baroque,20,24
3237,Man in Oriental Dress,35,920,Baroque,20,24
3239,Man with a Beard,35,920,Baroque,20,24
3241,Man with a Magnifying Glass,35,920,Baroque,20,24
3243,Man with a Steel Gorget,35,920,Baroque,20,24
3247,Old Man with a Gold Chain,68,920,Baroque,20,24
3251,Old Woman Cutting Her Nails,35,920,Baroque,20,24
3255,Pilate Washing His Hands,35,920,Baroque,30,24
3257,Portrait of a Lady with an Ostrich-Feather Fan,46,920,Baroque,20,24
3259,Portrait of a Man,35,920,Baroque,20,24
3263,"Portrait of a Man, Seated",46,920,Baroque,20,24
3265,Portrait of a Man (The Auctioneer),35,920,Baroque,20,24
3269,Portrait of a Woman,35,920,Baroque,20,24
3271,"Portrait of a Woman, the Van Beresteyn Family",35,920,Baroque,20,24
3273,Portrait of a Young Woman with a Fan,35,920,Baroque,20,24
3275,Portrait of Hendrickje Stoffels,47,920,Baroque,24,30
3279,Portrait of Jacob Trip,47,920,Baroque,20,24
3283,Portrait of Maertgen van Bilderbeecq,43,920,Baroque,20,24
3285,"Portrait of Margaretha de Geer, Wife of Jacob Trip",47,920,Baroque,20,24
3287,"Portrait of Margaretha de Geer, Wife of Jacob Trip",47,920,Baroque,20,30
3289,Portrait of Marten Looten,60,920,Baroque,19,24
3295,Saskia Van Uylenburgh in Arcadian Costume,47,920,Baroque,20,24
3297,"Saskia Van Uylenburgh, the Wife of the Artist",46,920,Baroque,16,20
3301,Self-Portrait,35,920,Baroque,19,24
3305,Self-Portrait,46,920,Baroque,16,20
3307,Self-Portrait as the Apostle St. Paul,43,920,Baroque,19,24
3309,Self-Portrait at 34,47,920,Baroque,20,24
3311,Self-Portrait at an Early Age,43,920,Baroque,15,20
3323,Sophonisba Receives the Cup of Poison,50,920,Baroque,24,24
3327,St. Bartholomew,55,920,Baroque,19,24
3331,St. Peter's Denial,43,920,Baroque,20,20
3333,Supper at Emmaus,40,920,Baroque,30,30
3335,The Abduction of Europa,55,920,Baroque,30,24
3341,The Beheading of John the Baptist,43,920,Baroque,29,36
3347,The Jewish Bride,43,920,Baroque,24,16
3351,The Music Party,43,920,Baroque,19,24
3353,The Night Watch,43,920,Baroque,30,22
3359,The Raising of Lazarus,60,920,Baroque,19,24
3361,The Return of the Prodigal Son,34,920,Baroque,24,30
3369,The Slaughtered Ox,40,920,Baroque,20,24
3373,The Standard Bearer (Floris Soop),35,920,Baroque,20,24
3375,The Stone Bridge,43,920,Baroque,20,13
3377,The Toilet of Bathsheba,35,920,Baroque,36,24
3379,Titus Van Rijn in a Monk's Habit,43,920,Baroque,15,20
3381,Tobit and Anna with the Kid Goat,43,920,Baroque,19,24
3387,Woman with a Pink,35,920,Baroque,20,24
3389,Young Woman with a Red Necklace,35,920,Baroque,20,24
3403,Baby (detail),46,827,Art Nouveau,30,24
3433,Hope,30,827,Art Nouveau,30,30
3435,Hope (detail),30,827,Art Nouveau,24,30
3485,Portrait of Mada Primavesi,35,827,Art Nouveau,24,30
3493,Rose Bushes Under the Trees,49,827,Art Nouveau,20,20
3513,The Park,30,827,Art Nouveau,30,30
3534,Rembrandt as a Young Man,35,920,Baroque,20,24
3536,Rembrandt's Son Titus,35,920,Baroque,20,24
3538,"The Prophetess Anna, Rembrandt's Mother",43,920,Baroque,19,24
3737,A Bather,47,500,Impressionism,19,24
3741,A Waitress at Duval's Restaurant,35,500,Impressionism,16,24
3745,A Young Girl with Daisies,35,500,Impressionism,16,20
3747,Acrobats at the Cirque Fernando,68,500,Impressionism,19,24
3755,After the Luncheon,49,500,Impressionism,24,30
3757,Albert Cahen d'Anvers,55,500,Impressionism,19,24
3759,Alfred Berard and His Dog,67,500,Impressionism,24,30
3765,"Aline Charigot, Madame Renoir",67,500,Impressionism,16,20
3767,Alphonsine Fournaise,49,500,Impressionism,20,16
3779,"At the Theatre, the First Release",47,500,Impressionism,19,24
3785,Bather,49,500,Impressionism,16,20
3789,Bather Arranging Her Hair,46,500,Impressionism,16,20
3795,Bather in the Forest,51,500,Impressionism,24,19
3813,Blonde Girl with a Rose,49,500,Impressionism,16,20
3817,Bouquet of Chrysanthemums,35,500,Impressionism,16,20
3823,Bust of Jeanne Samary Day Dreaming,31,500,Impressionism,16,20
3825,By the Seashore,35,500,Impressionism,19,24
3833,Charles Le Coeur in His Garden,49,500,Impressionism,24,36
3837,Child with a Whip,34,500,Impressionism,16,24
3839,"Child with Cat, Julie Manet",49,500,Impressionism,16,20
3845,"Child with Toys, Gabrielle and Jean",46,500,Impressionism,30,24
3847,Children by the Sea in Guernsey,51,500,Impressionism,24,19
3859,Claude Monet Painting,49,500,Impressionism,20,16
3861,Claude Monet Reading,49,500,Impressionism,16,20
3863,Claude Monet (The Reader),46,500,Impressionism,16,20
3865,Claude Renoir in Clown Costume,49,500,Impressionism,16,24
3877,Dance in the City,49,500,Impressionism,24,48
3879,Dance in the Country at Chatou,49,500,Impressionism,12,24
3881,Dancer,46,500,Impressionism,16,24
3883,Dancing at the Moulin de la Galette,49,500,Impressionism,69,52
3885,Dancing Girl with Castanets,47,500,Impressionism,12,24
3887,Dancing Girl with Tambourine,47,500,Impressionism,12,24
3893,Portrait of Eugene Murer,35,500,Impressionism,16,20
3899,Fernand Halphen as a Boy,49,500,Impressionism,19,24
3901,Figures on the Beach,35,500,Impressionism,30,24
3907,Flowers in a Vase,46,500,Impressionism,16,20
3909,Flowers in a Vase,67,500,Impressionism,16,20
3911,Frederic Bazille Painting at His Easel,49,500,Impressionism,24,30
3923,Girl Tatting,67,500,Impressionism,16,20
3927,Girl with a Fan,34,500,Impressionism,16,24
3929,Girl with a Hoop,46,500,Impressionism,16,24
3931,Girl with a Watering Can,46,500,Impressionism,19,24
3935,Girl with Parasol (Aline Nunes),36,500,Impressionism,24,36
3937,Girls at the Piano (Jeunes Filles Au Piano),49,500,Impressionism,24,30
3939,Girls in Black,31,500,Impressionism,24,30
3941,Gladioli in a Vase,47,500,Impressionism,16,20
3943,"Hills Around the Bay of Moulin Huet, Guernsey",35,500,Impressionism,24,16
3947,In the Meadow,35,500,Impressionism,19,24
3951,In the Woods,49,500,Impressionism,16,20
3957,Jean Renoir as a Hunter,60,500,Impressionism,20,30
3959,Jeanne Durand-Ruel,51,500,Impressionism,16,24
3973,La Promenade (The Walk),55,500,Impressionism,24,30
3977,Woman Combing Her Hair,49,500,Impressionism,16,20
3979,Lady in a Black Dress,34,500,Impressionism,16,20
3981,Lakeside Landscape,47,500,Impressionism,20,16
3991,Large Nude,49,500,Impressionism,24,12
3995,"Le Pont-Neuf, Paris",46,500,Impressionism,20,16
3997,The Olive Trees of Cagnes,49,500,Impressionism,24,16
4003,Luncheon of the Boating Party,49,500,Impressionism,69,51
4005,Madame Alphonse Daudet,49,500,Impressionism,16,20
4011,Madame Darras as an Amazon,49,500,Impressionism,16,20
4013,"Madame Gaston Bernheim de Villers, Suzanne Adler",49,500,Impressionism,16,20
4015,Madame Georges Charpentier and Her Children,35,500,Impressionism,30,24
4017,Madame Hagen,46,500,Impressionism,16,20
4019,Madame Leon Clapisson,68,500,Impressionism,16,20
4021,Madame Marie Octavie Bernier,35,500,Impressionism,16,20
4039,Mademoiselle Legrand,67,500,Impressionism,16,24
4051,Misia Nathanson,47,500,Impressionism,16,20
4057,Mr. and Mrs. Bernheim de Villers,49,500,Impressionism,24,30
4065,"Moulin Huet Bay, Guernsey",47,500,Impressionism,20,10
4069,Near the Lake,68,500,Impressionism,20,16
4071,Nini in the Garden,35,500,Impressionism,16,20
4087,Oarsmen at Chatou,46,500,Impressionism,24,19
4091,Ode to Flowers (after Anacreon),49,500,Impressionism,16,20
4095,Path Leading through Tall Grass,49,500,Impressionism,20,16
4101,Paysage Avec Figures,49,500,Impressionism,20,16
4107,Picking Flowers in the Field,46,500,Impressionism,24,30
4109,Pigeon Coop at Bellevue,47,500,Impressionism,20,16
4111,"Pont-Neuf, Paris",46,500,Impressionism,24,19
4119,Portrait of Jeanne Samary,31,500,Impressionism,16,20
4121,Portrait of Madame Georges Charpeitier,49,500,Impressionism,16,20
4123,Portrait of Madame Renoir,67,500,Impressionism,16,20
4127,Portrait of Marguerite Berard,35,500,Impressionism,16,20
4135,Reclining Nude,35,500,Impressionism,20,16
4139,Regatta Bei Argenteuil,46,500,Impressionism,24,16
4145,Roses and Jasmine in a Delft Vase,34,500,Impressionism,24,30
4153,Sea and Cliffs,35,500,Impressionism,20,16
4165,Seated Nude,68,500,Impressionism,16,20
4177,Snow Covered Landscape,49,500,Impressionism,24,19
4179,Spring Bouquet,36,500,Impressionism,16,20
4185,Still Life Flowers,49,500,Impressionism,16,20
4189,Still Life with Flowers and Fruit,67,500,Impressionism,24,16
4191,Still Life with Flowers and Prickly Pears,35,500,Impressionism,19,24
4193,Still Life with Peaches,35,500,Impressionism,20,16
4195,Still Life with Peaches and Grapes,35,500,Impressionism,20,16
4203,The Apple Seller,53,500,Impressionism,24,30
4205,The Artist's Family,51,500,Impressionism,24,30
4211,The Bathers,49,500,Impressionism,24,16
4215,The Bay of Naples,35,500,Impressionism,24,16
4237,The Daughters of Catulle Mendes,35,500,Impressionism,19,24
4245,"The Farm at Les Collettes, Cagnes",35,500,Impressionism,20,16
4247,The First Outing,47,500,Impressionism,24,30
4257,The Grands Boulevards,67,500,Impressionism,20,16
4267,The Large Bathers,67,500,Impressionism,24,16
4273,The Luncheon,51,500,Impressionism,20,16
4275,The Mosque (Arab Festival),49,500,Impressionism,30,24
4293,The Seine at Asnieres (The Skiff),47,500,Impressionism,20,16
4301,The Swing,49,500,Impressionism,19,24
4305,The Umbrellas,47,500,Impressionism,16,24
4309,The Vintagers,46,500,Impressionism,20,16
4315,Bathers Playing with a Crab,53,500,Impressionism,24,19
4317,Tilla Durieux,35,500,Impressionism,19,24
4323,Two Girls Reading,60,500,Impressionism,19,24
4329,Two Sisters on the Terrace,68,500,Impressionism,19,24
4333,Two Young Girls at the Piano,35,500,Impressionism,19,24
4335,Under the Arbor at the Moulin de la Galette,31,500,Impressionism,29,36
4341,Versailles,35,500,Impressionism,24,19
4345,View of the Seacoast Near Wargemont in Normandy,35,500,Impressionism,20,16
4359,Woman Reading (The Reader),49,500,Impressionism,16,20
4361,Woman with a Cat,46,500,Impressionism,16,20
4365,Woman with a Guitar,67,500,Impressionism,16,20
4367,Woman with a Hat,49,500,Impressionism,16,20
4371,Woman with a Parasol in a Garden,56,500,Impressionism,20,16
4373,Woman with White Jabot,49,500,Impressionism,16,20
4377,Young Boy with a Cat,49,500,Impressionism,20,40
4383,Young Girl Bathing,35,500,Impressionism,16,20
4389,Young Girl in a Pink-and-Black Hat,35,500,Impressionism,16,20
4411,Young Spanish Woman with a Guitar,46,500,Impressionism,30,24
4413,Young Woman at the Piano,68,500,Impressionism,24,30
4417,Young Woman Braiding Her Hair,46,500,Impressionism,16,20
4425,Young Woman with a Veil,49,500,Impressionism,16,20
4429,A Farm in Brittany,35,782,Post-Impressionism,24,19
4431,A Vase of Flowers,47,782,Post-Impressionism,20,16
4439,Are You Jealous?,31,782,Post-Impressionism,36,24
4441,Arearea Happiness,49,782,Post-Impressionism,37,30
4445,The Royal End,55,782,Post-Impressionism,24,16
4447,Arles Mistral,68,782,Post-Impressionism,20,16
4455,Bowl of Fruit and Tankard Before a Window,47,782,Post-Impressionism,20,20
4459,Breton Girls Dancing Around in the Haystacks,46,782,Post-Impressionism,24,19
4465,Brittany Landscape with Cows,57,782,Post-Impressionism,19,24
4469,Contes Barbares (Barbarian Tales),36,782,Post-Impressionism,36,52
4471,Conversation,34,782,Post-Impressionism,30,24
4475,Woman Holding a Fruit,34,782,Post-Impressionism,29,36
4479,By the Sea,46,782,Post-Impressionism,36,27
4485,Flowers and a Bowl of Fruit on a Table,31,782,Post-Impressionism,24,16
4487,Fruit Dish on a Garden Chair,60,782,Post-Impressionism,20,16
4499,Haere Pape,51,782,Post-Impressionism,16,24
4501,"Harvest, Le Pouldu",47,782,Post-Impressionism,24,19
4505,The Moon and the Earth,30,782,Post-Impressionism,24,36
4511,Hail Mary (Ia Orana Maria),35,782,Post-Impressionism,35,45
4515,Landscape from Bretagne,57,782,Post-Impressionism,24,19
4517,"Landscape in Brittany, The David Mill",49,782,Post-Impressionism,30,24
4529,Landscape with Two Breton Girls,49,782,Post-Impressionism,30,24
4533,Les Alyscamps,49,782,Post-Impressionism,24,30
4535,M. Loulou,51,782,Post-Impressionism,19,24
4537,"Madame Angele Satre, the Inn Keeper at Pont-Aven",49,782,Post-Impressionism,19,24
4539,Madame Gauguin in Evening Dress,47,782,Post-Impressionism,24,30
4541,Day of the Gods,68,782,Post-Impressionism,30,24
4547,In Olden Times,56,782,Post-Impressionism,24,36
4549,Landscape with Peacocks,31,782,Post-Impressionism,24,36
4557,Delightful Drowsiness,34,782,Post-Impressionism,24,19
4561,Parau Api. What News,49,782,Post-Impressionism,36,26
4563,Words of the Devil,46,782,Post-Impressionism,24,30
4571,Portrait of the Artist with Hat,49,782,Post-Impressionism,24,30
4577,Rue Jouvenet in Rouen,56,782,Post-Impressionism,24,30
4579,Sacred Spring Sweet Dreams,34,782,Post-Impressionism,30,24
4581,Scene From Tahitian Life,60,782,Post-Impressionism,36,24
4589,"Self-Portrait, Les Miserables",57,782,Post-Impressionism,24,19
4591,Self-Portrait with Halo,46,782,Post-Impressionism,16,24
4611,Still Life with Fruit,31,782,Post-Impressionism,24,16
4621,Still Life with Three Puppies,30,782,Post-Impressionism,16,24
4623,The Market,36,782,Post-Impressionism,36,29
4625,Tahitian Landscape,35,782,Post-Impressionism,24,36
4631,Tahitian Pastorals,34,782,Post-Impressionism,45,34
4637,Tahitian Women Bathing,35,782,Post-Impressionism,24,30
4639,The Seed of Areoi,30,782,Post-Impressionism,19,24
4647,The Ancestors of Tehamana,68,782,Post-Impressionism,16,24
4649,The Black Pigs,31,782,Post-Impressionism,19,24
4651,The Call,53,782,Post-Impressionism,20,30
4657,The Field of Derout-Lollichon,60,782,Post-Impressionism,24,19
4663,The Guitar Player,47,782,Post-Impressionism,19,24
4673,The Meal,49,782,Post-Impressionism,24,19
